model_family,run_number,description_mode,loss_func,optimizer,lr_scheduler,lr,batch_size,accumulation_steps,effective_batch_size,augmented,n_test_images,n_text_queries,qbs_mAP,qbs_Recall@1,qbs_Recall@5,qbs_Recall@10,qbe_mAP,qbe_Recall@1,qbe_Recall@5,qbe_Recall@10,model_dir
ALIGN,4,description,supcon,adam,cosine_warmup,1e-05,8,16,128,True,380,380,0.058237420268242496,0.002631578947368421,0.013157894736842105,0.02894736842105263,0.4301661094182389,0.09838450292397662,0.2848385167464115,0.3966633439659755,saved_models/align-fine-tune/fold_3_aug_square/4
ALIGN,6,description,supcon,adam,cosine_warmup,1e-05,8,16,128,True,380,380,0.044474925418894175,0.002631578947368421,0.013157894736842105,0.02631578947368421,0.1466141954227723,0.042118838763575604,0.11477329687856004,0.1586207944102681,saved_models/align-fine-tune/fold_3_aug_square/6
ALIGN,7,description,supcon,adam,cosine_warmup,1e-05,8,16,128,True,380,380,0.046793560978067764,0.002631578947368421,0.013157894736842105,0.02631578947368421,0.14115483586454772,0.04143967874231032,0.10820849472165263,0.15356592238171185,saved_models/align-fine-tune/fold_3_aug_square/7
